step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_TRANSFER,origBalanceDiscrepancy,destBalanceDiscrepancy,vraiValeur,valeurPredite
14,265986.09,0.0,0.0,1071895.92,1337882.01,0,265986.09,0.0,0,0
12,57384.38,0.0,0.0,2348356.26,2405740.64,0,57384.38,-4.656612873077393e-10,0,0
10,42895.62,0.0,0.0,532331.01,575226.63,0,42895.62,0.0,0,0
20,377540.89,0.0,0.0,534924.1,912464.99,0,377540.89,0.0,0,0
19,918112.46,0.0,0.0,3047273.8,3965386.26,1,918112.46,0.0,0,0
13,177212.16,0.0,0.0,179868.01,357080.17,0,177212.16,5.820766091346741e-11,0,0
12,240339.99,25925.0,0.0,2691580.91,2931920.91,0,214414.99,-0.0099999997764825,0,0
12,2580532.07,733.0,0.0,357292.7,2937824.77,1,2579799.07,0.0,0,0
10,117653.84,11902.0,0.0,1532151.37,1649805.21,0,105751.84,2.3283064365386963e-10,0,0
15,119097.26,0.0,0.0,197546.36,316643.62,0,119097.26,0.0,0,0
23,103591.06,0.0,0.0,4841111.67,4944702.73,0,103591.06,-9.313225746154783e-10,0,0
19,203310.15,0.0,0.0,662834.71,866144.85,0,203310.15,0.0100000000093132,0,0
10,230806.85,230806.85,0.0,0.0,0.0,1,0.0,230806.85,1,1
13,231444.93,0.0,0.0,6295851.49,6527296.42,0,231444.93,0.0,0,0
14,42436.64,10575.0,0.0,3614466.27,3656902.91,0,31861.64,0.0,0,0
22,181206.58,0.0,0.0,1362914.26,1544120.84,0,181206.58,0.0,0,0
17,249817.36,0.0,0.0,5130969.27,5321042.85,0,249817.36,59743.78000000026,0,0
20,136712.02,2707.6,0.0,622741.38,759453.4,0,134004.41999999998,0.0,0,0
13,88881.9,0.0,0.0,371343.12,460225.02,0,88881.9,0.0,0,0
11,1408090.87,0.0,0.0,5349853.21,6757944.08,1,1408090.87,0.0,0,0
11,12461.0,12461.0,0.0,27964.11,40425.11,0,0.0,0.0,1,1
17,91645.75,0.0,0.0,390921.05,482566.81,0,91645.75,-0.0100000000093132,0,0
1,208376.61,133.99,0.0,1541573.96,2444985.19,1,208242.62,-695034.6200000001,0,0
18,303427.8,15478.0,0.0,0.0,273110.57,0,287949.8,30317.22999999998,0,0
13,178521.71,105963.0,0.0,179356.12,357877.83,0,72558.70999999999,-5.820766091346741e-11,0,0
20,343540.15,40820.0,0.0,0.0,343540.15,0,302720.15,0.0,0,0
18,222977.14,551.0,0.0,1654919.46,1877896.6,0,222426.14,0.0,0,0
10,299603.95,537271.0,237667.05,344034.62,643638.57,0,0.0,1.1641532182693479e-10,0,0
20,776131.2,0.0,0.0,1180395.76,1956526.96,1,776131.2,0.0,0,0
18,282923.99,0.0,0.0,8610851.22,8893775.2,0,282923.99,0.0100000016391277,0,0
15,796405.38,911.0,0.0,1868346.36,2664751.74,1,795494.38,0.0,0,0
19,213761.87,408958.0,195196.13,0.0,213761.87,0,0.0,0.0,0,0
16,38621.08,0.0,0.0,128386.43,167007.51,0,38621.08,0.0,0,0
20,158720.68,60813.0,0.0,0.0,158720.68,0,97907.68,0.0,0,0
22,234886.77,0.0,0.0,303437.24,538324.01,0,234886.77,0.0,0,0
16,420416.02,8652.0,0.0,851438.89,1271854.91,0,411764.02,2.3283064365386963e-10,0,0
12,98555.21,29786.0,0.0,2278630.06,2377185.27,0,68769.21,0.0,0,0
11,200092.65,0.0,0.0,468153.66,668246.31,0,200092.65,-1.1641532182693479e-10,0,0
21,200414.56,0.0,0.0,3121567.93,3321982.49,0,200414.56,0.0,0,0
16,60826.26,0.0,0.0,135071.53,195897.78,0,60826.26,0.0100000000093132,0,0
17,242268.32,307971.0,65702.68,115057.41,357325.73,1,0.0,0.0,0,0
18,5389.85,0.0,0.0,179274.54,184664.38,1,5389.85,0.0100000000093132,0,0
11,192041.89,0.0,0.0,1208115.39,1400157.28,1,192041.89,-2.3283064365386963e-10,0,0
14,235548.62,41386.0,0.0,653550.42,889099.04,0,194162.62,0.0,0,0
14,48078.85,48078.85,0.0,288760.9,336839.74,0,0.0,0.0100000000093132,1,1
11,364000.84,31831.0,0.0,539042.42,903043.26,0,332169.84,0.0,0,0
18,72528.44,0.0,0.0,211493.62,284022.06,0,72528.44,0.0,0,0
17,145118.42,264359.0,119240.58,0.0,145118.42,0,0.0,0.0,0,0
16,66391.19,0.0,0.0,898093.81,964485.01,0,66391.19,-0.0100000000093132,0,0
19,34692.08,0.0,0.0,204634.97,239327.05,0,34692.08,0.0,0,0
11,300333.6,21324.0,0.0,33287.65,333621.25,0,279009.6,0.0,0,0
19,473086.28,473086.28,0.0,22270848.04,22743934.32,0,0.0,0.0,1,1
11,217354.66,26685.0,0.0,0.0,217354.66,0,190669.66,0.0,0,0
12,48647.81,122654.0,74006.19,1136238.89,1184886.7,0,0.0,0.0,0,0
18,229144.2,18469.0,0.0,13159.26,242303.46,0,210675.2,2.9103830456733704e-11,0,0
16,50518.96,0.0,0.0,125934.83,176453.79,0,50518.96,0.0,0,0
12,273197.6,33217.0,0.0,3376594.7,3649792.31,0,239980.6,-0.0099999997764825,0,0
10,3847671.81,25494.0,0.0,0.0,3847671.81,1,3822177.81,0.0,0,0
11,26800.15,127.0,0.0,12391028.27,12417828.43,0,26673.15,-0.0099999997764825,0,0
10,130602.14,203602.0,72999.86,264531.34,395133.48,0,0.0,5.820766091346741e-11,0,0
18,1085.69,104184.5,103098.81,3849712.47,3850798.16,0,0.0,0.0,0,0
8,357123.16,0.0,0.0,1146947.16,1909674.3,0,357123.16,-405603.9800000002,0,0
20,2694857.26,2694857.26,0.0,573517.09,3268374.34,0,0.0,0.0099999997764825,1,1
15,16899.89,0.0,0.0,904529.8,921429.69,0,16899.89,1.1641532182693479e-10,0,0
17,443299.81,87934.34,0.0,1219399.57,1662699.38,0,355365.47,2.3283064365386963e-10,0,0
19,17525.46,3147.0,0.0,2366.11,19891.57,0,14378.46,0.0,0,0
14,85158.55,0.0,0.0,101601.65,186760.21,0,85158.55,-0.0099999999802093,0,0
11,202729.13,0.0,0.0,261960.87,464690.0,0,202729.13,0.0,0,0
12,158979.42,0.0,0.0,2571389.6,2730369.01,0,158979.42,0.0100000002421438,0,0
19,261022.64,0.0,0.0,350597.08,611619.72,1,261022.64,0.0,0,0
13,26780.71,944.0,0.0,317353.05,344133.76,0,25836.71,0.0,0,0
20,1262495.38,237.0,0.0,85892.93,1348388.31,1,1262258.38,-2.3283064365386963e-10,0,0
12,359412.51,21342.0,0.0,1230784.34,1590196.84,0,338070.51,0.0100000000093132,0,0
4,92145.4,92145.4,0.0,0.0,0.0,1,0.0,92145.4,1,1
23,679889.76,69179.38,0.0,2031329.01,2711218.77,1,610710.38,0.0,0,0
11,27014.79,1139.0,0.0,0.0,27014.79,0,25875.79,0.0,0,0
19,137003.25,262630.0,125626.75,89688.58,365621.34,0,0.0,-138929.51,0,0
23,269800.94,0.0,0.0,317462.89,587263.84,0,269800.94,-0.0099999998928979,0,0
15,235925.95,0.0,0.0,353368.3,589294.24,0,235925.95,0.0100000000093132,0,0
18,8924.69,368303.7,359379.01,1300494.67,1309419.36,0,0.0,-2.3283064365386963e-10,0,0
11,195378.9,40591.0,0.0,703849.05,899227.95,0,154787.9,1.1641532182693479e-10,0,0
10,320054.59,7657.72,0.0,2579079.62,2535940.7,0,312396.87000000005,363193.5099999998,0,0
13,149405.51,10215.0,0.0,848481.61,997887.12,0,139190.51,0.0,0,0
13,393653.63,8091.0,0.0,205944.44,599598.07,0,385562.63,1.1641532182693479e-10,0,0
13,355448.13,0.0,0.0,635557.16,991262.02,0,355448.13,-256.7299999999814,0,0
19,49439.5,24589.0,0.0,265763.31,315202.81,0,24850.5,0.0,0,0
19,258420.38,53094.0,0.0,0.0,258727.45,0,205326.38,-307.070000000007,0,0
17,1093739.2,117422.0,0.0,719144.01,1812883.21,1,976317.2,0.0,0,0
19,584411.73,0.0,0.0,4391495.56,4975907.29,0,584411.73,-9.313225746154783e-10,0,0
20,202794.21,0.0,0.0,1227751.88,1430546.08,0,202794.21,0.0099999997764825,0,0
14,633384.46,633384.46,0.0,0.0,0.0,1,0.0,633384.46,1,1
18,92447.44,30928.0,0.0,96938.93,189386.37,0,61519.44,0.0,0,0
13,36270.49,323515.0,287244.51,0.0,36270.49,0,0.0,0.0,0,0
14,443502.36,0.0,0.0,1015778.82,1459281.19,1,443502.36,-0.0100000000093132,0,0
19,165660.25,50388.0,0.0,51955.0,0.0,0,115272.25,217615.25,0,0
19,34688.41,5835.0,0.0,471167.95,505856.37,0,28853.410000000003,-0.0100000000093132,0,0
0,13017.75,0.0,0.0,98183.11,111200.86,0,13017.75,0.0,0,0
8,142392.95,0.0,0.0,685100.72,407437.54,0,142392.95,420056.13,0,0
15,61176.29,35897.0,0.0,3160120.8,3221297.09,0,25279.29,0.0,0,0
12,88060.98,0.0,0.0,1664707.69,1752768.67,0,88060.98,0.0,0,0
13,335937.59,100147.0,0.0,1128.31,337065.9,0,235790.59000000003,0.0,0,0
12,75124.72,9544.0,0.0,1530571.81,1605696.53,0,65580.72,0.0,0,0
13,27785.09,59433.0,31647.91,0.0,27785.09,0,0.0,0.0,0,0
19,100903.73,0.0,0.0,281659.3,382563.03,0,100903.73,-5.820766091346741e-11,0,0
19,29242.69,50010.0,20767.31,0.0,29242.69,0,0.0,0.0,0,0
20,10993.16,52102.0,41108.84,0.0,10993.16,0,0.0,0.0,0,0
9,286106.97,268088.0,0.0,378040.14,664147.11,1,18018.96999999997,0.0,0,0
12,294313.81,11180.0,0.0,0.0,294313.81,0,283133.81,0.0,0,0
11,81797.76,0.0,0.0,1248963.6,1330761.35,0,81797.76,0.0100000000093132,0,0
15,490153.52,0.0,0.0,8618612.01,9108765.53,1,490153.52,0.0,0,0
21,8800.62,159508.0,150707.38,763565.48,772366.1,0,0.0,0.0,0,0
17,130371.1,0.0,0.0,6169807.57,6300178.68,0,130371.1,-0.0099999997764825,0,0
21,967954.01,967954.01,0.0,0.0,0.0,1,0.0,967954.01,1,1
12,182073.04,0.0,0.0,1951251.5,2133324.55,0,182073.04,-0.0099999997764825,0,0
19,472360.62,153359.57,0.0,907110.25,1379470.86,1,319001.05,0.0100000000093132,0,0
9,283922.68,31.0,0.0,2598145.78,2882068.45,0,283891.68,0.0099999997764825,0,0
12,414327.72,303490.98,0.0,2588483.59,3002811.3,1,110836.74,0.0099999997764825,0,0
1,141730.2,141730.2,0.0,439133.62,580863.82,0,0.0,1.1641532182693479e-10,1,1
15,143299.6,0.0,0.0,199104.15,342403.74,0,143299.6,0.0100000000093132,0,0
15,164499.3,1041.0,0.0,0.0,164499.3,0,163458.3,0.0,0,0
11,287698.85,20718.0,0.0,564757.14,852455.99,0,266980.85,0.0,0,0
9,989954.57,989954.57,0.0,0.0,0.0,1,0.0,989954.57,1,1
10,56266.91,824468.16,768201.26,71582.0,127848.91,0,0.0100000000093132,0.0,0,0
12,66114.23,30425.0,0.0,0.0,66114.23,0,35689.23,0.0,0,0
9,14953.58,0.0,0.0,165239.18,180192.76,0,14953.58,-2.9103830456733704e-11,0,0
0,95547.69,1284.53,0.0,1727177.37,1822725.07,0,94263.16,-0.0100000000093132,0,0
11,468769.87,0.0,0.0,1034882.73,1503652.61,1,468769.87,-0.0100000000093132,0,0
19,74620.72,0.0,0.0,561627.26,1191720.09,0,74620.72,-555472.1100000001,0,0
21,337885.74,0.0,0.0,527853.85,865739.59,0,337885.74,0.0,0,0
17,303968.6,23.0,0.0,102202.37,406170.96,0,303945.6,0.0099999999511055,0,0
17,97192.95,0.0,0.0,119529.63,216722.58,0,97192.95,2.9103830456733704e-11,0,0
15,117827.54,285520.61,167693.07,781322.16,899149.7,0,0.0,1.1641532182693479e-10,0,0
16,261253.83,222389.8,0.0,445401.95,706655.78,0,38864.03,0.0,0,0
15,512159.34,26933.0,0.0,0.0,512159.34,0,485226.34,0.0,0,0
18,211883.77,0.0,0.0,1719478.42,1931362.19,0,211883.77,0.0,0,0
16,297338.51,1596.0,0.0,0.0,297338.51,0,295742.51,0.0,0,0
19,278064.76,0.0,0.0,1366656.92,1644721.68,0,278064.76,0.0,0,0
16,290345.88,12688.0,0.0,1045078.12,1335424.0,0,277657.88,0.0,0,0
20,64289.67,49858.0,0.0,3980342.57,4044632.24,0,14431.669999999998,-4.656612873077393e-10,0,0
17,707291.77,137.0,0.0,0.0,707291.77,0,707154.77,0.0,0,0
12,336751.65,189.0,0.0,0.0,336751.65,0,336562.65,0.0,0,0
16,400795.23,0.0,0.0,500510.18,901305.41,0,400795.23,-1.1641532182693479e-10,0,0
16,385664.92,782.0,0.0,142225.67,527890.59,0,384882.92,0.0,0,0
9,29479.31,207308.0,177828.69,0.0,29479.31,0,0.0,0.0,0,0
19,143660.11,143660.11,0.0,0.0,143660.11,0,0.0,0.0,1,1
11,219473.74,0.0,0.0,1225962.07,1445435.82,0,219473.74,-0.0100000000093132,0,0
17,1469530.86,601.0,0.0,125567.39,1595098.26,1,1468929.86,-0.0100000000093132,0,0
16,59304.75,267005.01,207700.27,10880706.71,10940011.46,0,0.0100000000093132,0.0,0,0
15,364443.93,0.0,0.0,6321016.98,6685460.91,0,364443.93,0.0,0,0
12,134497.41,134497.41,0.0,16202218.65,16336716.06,0,0.0,0.0,1,1
0,1086227.44,1086227.44,0.0,0.0,0.0,1,0.0,1086227.44,1,1
12,248802.74,0.0,0.0,503934.25,13449.56,0,248802.74,739287.4299999999,0,0
14,1146887.34,0.0,0.0,4668404.79,6040870.33,1,1146887.34,-225578.2000000002,0,0
17,235177.03,338995.0,103817.97,829305.02,1064482.05,0,0.0,0.0,0,0
19,36942.13,36942.13,0.0,31565.8,68507.93,0,0.0,0.0,1,1
13,2005379.47,0.0,0.0,4526233.14,6531612.61,1,2005379.47,-9.313225746154783e-10,0,0
21,46701.89,134334.0,87632.11,0.0,46701.89,0,0.0,0.0,0,0
18,120659.08,0.0,0.0,488456.0,609115.09,0,120659.08,-0.0100000000093132,0,0
12,1305260.03,0.0,0.0,1597644.97,2902905.0,1,1305260.03,0.0,0,0
17,10000000.0,11336901.11,1336901.11,0.0,0.0,1,0.0,10000000.0,1,1
15,78526.92,0.0,0.0,496339.46,574866.38,0,78526.92,0.0,0,0
10,19260.28,0.0,0.0,2966689.81,2985950.1,0,19260.28,-0.0100000002421438,0,0
15,119315.76,0.0,0.0,1111502.49,1230818.25,0,119315.76,0.0,0,0
16,101784.1,55953.0,0.0,16255.83,118039.94,1,45831.100000000006,-0.0099999999947613,0,0
18,515992.8,0.0,0.0,3347966.81,3863959.61,1,515992.8,0.0,0,0
14,10991.73,0.0,0.0,599852.54,610844.26,0,10991.73,0.0100000000093132,0,0
19,278703.22,0.0,0.0,2404208.86,2682912.08,0,278703.22,0.0,0,0
22,281984.3,0.0,0.0,586496.67,868480.97,0,281984.3,0.0,0,0
12,316081.34,13283.0,0.0,345636.31,661717.65,0,302798.34,0.0,0,0
13,210579.75,69563.0,0.0,276563.17,487142.92,0,141016.75,0.0,0,0
7,21571.0,21571.0,0.0,30797.41,71140.3,0,0.0,-18771.89,1,1
21,207945.79,0.0,0.0,549677.2,757622.98,0,207945.79,0.0100000000093132,0,0
11,165582.54,4252.0,0.0,248407.18,413989.72,0,161330.54,0.0,0,0
10,228700.92,156006.8,0.0,125.0,228825.92,0,72694.12000000002,0.0,0,0
9,306113.71,656552.93,350439.22,193305.61,833204.84,0,-1.1641532182693479e-10,-333785.52,0,0
12,426110.09,5593.0,0.0,64171.38,490281.47,0,420517.09,5.820766091346741e-11,0,0
18,86389.07,15151.0,0.0,398836.79,485225.86,0,71238.07,0.0,0,0
18,32741.82,57283.0,24541.18,0.0,32741.82,0,0.0,0.0,0,0
18,65769.3,31082.0,0.0,29457.71,95227.01,0,34687.3,1.4551915228366852e-11,0,0
18,530297.83,0.0,0.0,831968.48,1362266.32,1,530297.83,-0.0100000000093132,0,0
12,431564.77,114227.0,0.0,0.0,431564.77,0,317337.77,0.0,0,0
12,6534.22,953.0,0.0,0.0,6534.22,0,5581.22,0.0,0,0
14,377539.11,221859.0,0.0,135244.46,512783.57,0,155680.11,-5.820766091346741e-11,0,0
12,74103.78,48290.0,0.0,286254.35,360358.13,0,25813.78,0.0,0,0
13,132777.0,153596.0,20819.0,0.0,132777.0,0,0.0,0.0,0,0
20,147705.52,0.0,0.0,803760.11,951465.64,0,147705.52,-0.0100000000093132,0,0
12,54251.1,0.0,0.0,1625181.37,1679432.47,0,54251.1,2.3283064365386963e-10,0,0
19,772103.25,62375.0,0.0,0.0,772103.25,1,709728.25,0.0,0,0
18,52517.98,0.0,0.0,481738.18,638535.42,0,52517.98,-104279.26,0,0
19,98230.2,30961.0,0.0,1747861.36,1846091.56,0,67269.2,0.0,0,0
10,114406.2,44355.0,0.0,1211694.35,1326100.55,0,70051.2,0.0,0,0
14,902912.8,0.0,0.0,8396132.61,9299045.41,1,902912.8,0.0,0,0
12,596783.73,0.0,0.0,9422398.22,10043480.7,1,596783.73,-24298.749999998137,0,0
18,468534.99,0.0,0.0,8628455.9,9096990.89,0,468534.99,0.0,0,0
17,99726.95,0.0,0.0,740572.59,840299.54,0,99726.95,-1.1641532182693479e-10,0,0
10,154954.31,174515.0,19560.69,134744.2,289698.52,0,0.0,-0.0100000000093132,0,0
20,103709.9,11466.0,0.0,14986.62,118696.52,0,92243.9,-1.4551915228366852e-11,0,0
20,155751.59,0.0,0.0,1000206.86,1155958.44,0,155751.59,0.0100000000093132,0,0
14,253792.85,6902.15,0.0,2137224.45,2391017.3,0,246890.7,4.656612873077393e-10,0,0
18,101881.41,0.0,0.0,1059203.65,1161085.05,0,101881.41,0.0099999997764825,0,0
11,547566.37,588.0,0.0,690874.24,1238440.61,0,546978.37,-2.3283064365386963e-10,0,0
9,931674.04,134709.0,0.0,0.0,931674.04,1,796965.04,0.0,0,0
14,47828.12,0.0,0.0,1470344.02,1518172.13,1,47828.12,0.0100000002421438,0,0
13,494476.48,105416.0,0.0,9328.12,503804.6,1,389060.48,0.0,0,0
11,311502.55,113543.0,0.0,836456.1,1147958.65,0,197959.55,0.0,0,0
15,236655.03,0.0,0.0,2529751.3,2766406.32,0,236655.03,0.0099999997764825,0,0
12,95073.45,0.0,0.0,2035412.46,2130485.91,0,95073.45,0.0,0,0
20,24831.09,0.0,0.0,577256.27,602087.36,0,24831.09,0.0,0,0
15,262739.5,0.0,0.0,1794289.5,21906937.07,0,262739.5,-19849908.07,0,0
16,92682.71,21236.0,0.0,6071207.25,5976674.75,0,71446.71,187215.21,0,0
20,88219.65,0.0,0.0,1868650.5,1956870.15,0,88219.65,0.0,0,0
13,51868.2,259070.62,207202.42,270738.53,322606.73,0,0.0,5.820766091346741e-11,0,0
19,115607.29,0.0,0.0,7359445.83,7475053.12,0,115607.29,0.0,0,0
10,413523.66,548761.0,135237.34,0.0,413523.66,1,0.0,0.0,0,0
10,116874.57,0.0,0.0,9611237.17,9728111.74,0,116874.57,0.0,0,0
14,176729.87,623310.0,446580.13,191274.2,491564.02,0,0.0,-123559.95,0,0
19,80998.67,0.0,0.0,804532.79,885531.47,0,80998.67,-0.0099999998928979,0,0
18,186518.63,10652.0,0.0,0.0,186518.63,1,175866.63,0.0,0,0
19,109400.8,52146.0,0.0,280282.82,389683.61,0,57254.8,0.0100000000093132,0,0
21,114136.22,0.0,0.0,369048.81,483185.03,0,114136.22,0.0,0,0
20,294455.41,34274.0,0.0,57988.62,352444.03,0,260181.41,-5.820766091346741e-11,0,0
19,13976.65,22461.0,8484.35,5557960.08,5578969.02,0,0.0,-7032.289999999106,0,0
22,115374.99,0.0,0.0,526628.48,642003.46,0,115374.99,0.0100000000093132,0,0
20,50010.36,0.0,0.0,284075.94,334086.3,0,50010.36,0.0,0,0
18,214067.22,1578.0,0.0,135246.48,349313.7,0,212489.22,0.0,0,0
11,514071.41,22801.0,0.0,209063.16,723134.57,1,491270.41,0.0,0,0
15,220668.42,43031.0,0.0,179504.2,400172.62,0,177637.42,0.0,0,0
17,945092.15,13618.54,0.0,1291451.0,2086972.31,1,931473.61,149570.83999999985,0,0
12,25970.18,0.0,0.0,316722.74,342692.92,0,25970.18,0.0,0,0
19,623625.33,0.0,0.0,13473374.21,14096999.55,1,623625.33,-0.0099999997764825,0,0
18,251117.71,15471.0,0.0,0.0,251117.71,1,235646.71,0.0,0,0
20,326089.39,12256.0,0.0,751426.69,1077516.08,0,313833.39,0.0,0,0
18,258271.39,30958.0,0.0,0.0,258271.39,0,227313.39,0.0,0,0
10,6563.2,0.0,0.0,744911.31,751474.51,0,6563.2,0.0,0,0
20,49015.55,90215.0,41199.45,274967.22,323982.77,0,0.0,-5.820766091346741e-11,0,0
19,111788.82,0.0,0.0,436151.84,547940.65,0,111788.82,0.0100000000093132,0,0
12,153166.02,0.0,0.0,212596.44,365762.47,0,153166.02,-0.0100000000093132,0,0
19,15232.59,67.0,0.0,119933.95,135166.55,0,15165.59,-0.0099999999802093,0,0
20,58154.17,0.0,0.0,358713.91,416868.08,0,58154.17,-5.820766091346741e-11,0,0
20,107412.89,321495.0,214082.11,0.0,107412.89,0,0.0,0.0,0,0
16,219677.95,10958.0,0.0,1923501.09,2143179.05,1,208719.95,-0.0099999997764825,0,0
11,65842.41,32555.0,0.0,162728.05,228570.46,0,33287.41,0.0,0,0
16,318293.71,38138.0,0.0,14774.36,333068.07,0,280155.71,0.0,0,0
19,214052.37,55499.35,0.0,541709.07,755761.43,1,158553.02,0.0099999998928979,0,0
23,151194.73,0.0,0.0,1440630.82,1591825.54,0,151194.73,0.0100000000093132,0,0
17,4085.32,130027.0,125941.68,0.0,4085.32,0,0.0,0.0,0,0
17,124088.49,0.0,0.0,4228163.9,4352252.39,0,124088.49,9.313225746154783e-10,0,0
14,69928.65,0.0,0.0,981373.28,1051301.93,0,69928.65,0.0,0,0
13,337146.67,10128.54,0.0,563828.4,900975.07,0,327018.13,1.1641532182693479e-10,0,0
15,140556.15,494.0,0.0,0.0,140556.15,0,140062.15,0.0,0,0
15,3658776.11,0.0,0.0,12730175.07,16388951.19,1,3658776.11,-0.0099999997764825,0,0
18,208324.07,0.0,0.0,1568635.72,1776959.78,0,208324.07,0.0100000000093132,0,0
19,18138.47,0.0,0.0,4121917.8,4140056.27,0,18138.47,0.0,0,0
17,177978.83,0.0,0.0,1365840.06,1543818.89,0,177978.83,2.3283064365386963e-10,0,0
17,158044.45,36021.0,0.0,30535.0,0.0,0,122023.45,188579.45,0,0
19,256663.68,49594.0,0.0,707393.63,964057.31,0,207069.68,0.0,0,0
12,388416.79,113110.0,0.0,0.0,388416.79,1,275306.79,0.0,0,0
17,231053.4,52400.74,0.0,2200136.49,2431189.9,0,178652.66,-0.0099999997764825,0,0
9,4872.36,0.0,0.0,15649.05,20521.41,0,4872.36,0.0,0,0
14,273872.42,2882.0,0.0,200711.52,474583.93,0,270990.42,0.0099999999511055,0,0
20,118515.12,0.0,0.0,218892.53,337407.65,0,118515.12,0.0,0,0
18,203845.76,0.0,0.0,1017382.52,1221228.27,0,203845.76,0.0100000000093132,0,0
20,128734.29,0.0,0.0,10049441.51,10178175.8,0,128734.29,-1.862645149230957e-09,0,0
23,1074.81,1074.81,0.0,0.0,0.0,1,0.0,1074.81,1,1
19,213220.23,61.0,0.0,0.0,213220.23,0,213159.23,0.0,0,0
16,61127.7,0.0,0.0,421128.79,482256.48,0,61127.7,0.0100000000093132,0,0
16,227145.66,0.0,0.0,2801138.67,3250161.01,0,227145.66,-221876.6799999997,0,0
16,219238.71,557104.0,337865.29,414424.38,633663.09,0,0.0,0.0,0,0
13,253051.4,17095.0,0.0,0.0,253051.4,0,235956.4,0.0,0,0
12,162701.8,9770.0,0.0,30223.93,192925.73,0,152931.8,-2.9103830456733704e-11,0,0
19,217114.4,619366.69,402252.29,1044372.1,1518729.67,1,0.0,-257243.16999999995,0,0
13,1019915.65,0.0,0.0,2555897.15,3575812.8,1,1019915.65,0.0,0,0
20,80430.76,53271.42,0.0,968886.93,1049317.68,1,27159.34,0.0100000000093132,0,0
17,3914444.42,1364.0,0.0,0.0,3914444.42,1,3913080.42,0.0,0,0
18,315542.27,99509.0,0.0,148185.98,463728.25,0,216033.27,0.0,0,0
13,269187.87,269187.87,0.0,0.0,0.0,1,0.0,269187.87,1,1
19,85713.29,6319.0,0.0,112086.26,197799.56,0,79394.29,-0.0100000000093132,0,0
19,326846.32,80428.0,0.0,6918333.7,7245180.02,0,246418.32,9.313225746154783e-10,0,0
17,194215.05,286774.15,92559.1,2239578.0,2433793.05,0,0.0,0.0,0,0
17,275583.01,14301.0,0.0,0.0,275583.01,0,261282.01,0.0,0,0
20,218183.35,32180.0,0.0,733660.96,863673.67,0,186003.35,88170.6399999999,0,0
19,594471.04,594471.04,0.0,1788456.17,2382927.21,0,0.0,0.0,1,1
